P (MPa),T (°C),VL (m3/kg),VV (m3/kg),UL (kJ/kg),UV (kJ/kg),DUvap (kJ/kg),HL (kJ/kg),HV (kJ/kg), DHvap (kJ/kg),SL [kJ/(kg K)],SV [kJ/(kg K)], DSvap [kJ/(kg K)]
0.0006117,0.01000,0.001000,206.0,0.000,2375,2375,0.000,2501,2501,0.000,9.156,9.156
0.0007,1.881,0.001000,181.2,7.890,2377,2370.,7.890,2504,2497,0.02878,9.106,9.077
0.0008,3.761,0.001000,159.6,15.81,2380.,2364,15.81,2508,2492,0.05748,9.057,8.999
0.0009,5.444,0.001000,142.8,22.89,2382,2360.,22.89,2511,2488,0.08297,9.014,8.931
0.0010,6.970,0.001000,129.2,29.30,2385,2355,29.30,2514,2484,0.1059,8.975,8.869
0.0012,9.654,0.001000,108.7,40.57,2388,2348,40.57,2519,2478,0.1460,8.908,8.762
0.0014,11.97,0.001001,93.90,50.28,2391,2341,50.28,2523,2473,0.1802,8.852,8.672
0.0016,14.01,0.001001,82.74,58.83,2394,2335,58.83,2527,2468,0.2100,8.804,8.594
0.0018,15.84,0.001001,74.01,66.49,2397,2330.,66.49,2530.,2463,0.2366,8.761,8.524
0.0020,17.50,0.001001,66.99,73.43,2399,2325,73.43,2533,2459,0.2606,8.723,8.462
0.0024,20.41,0.001002,56.38,85.65,2403,2317,85.65,2538,2453,0.3024,8.657,8.354
0.0028,22.94,0.001002,48.73,96.19,2406,2310.,96.19,2543,2447,0.3382,8.601,8.263
0.0032,25.16,0.001003,42.95,105.5,2409,2304,105.5,2547,2441,0.3695,8.553,8.184
0.0036,27.15,0.001004,38.43,113.8,2412,2298,113.8,2550.,2437,0.3973,8.511,8.114
0.0040,28.96,0.001004,34.79,121.4,2415,2293,121.4,2554,2432,0.4224,8.473,8.051
0.0045,31.01,0.001005,31.13,130.0,2417,2287,130.0,2557,2427,0.4507,8.431,7.981
0.0050,32.87,0.001005,28.19,137.7,2420.,2282,137.8,2561,2423,0.4762,8.394,7.918
0.0055,34.58,0.001006,25.76,144.9,2422,2277,144.9,2564,2419,0.4995,8.360,7.861
0.0060,36.16,0.001006,23.73,151.5,2424,2273,151.5,2567,2415,0.5208,8.329,7.808
0.0065,37.63,0.001007,22.01,157.6,2426,2269,157.6,2569,2412,0.5406,8.301,7.760
0.0070,39.00,0.001008,20.52,163.3,2428,2265,163.4,2572,2408,0.5590,8.275,7.715
0.0075,40.29,0.001008,19.23,168.7,2430.,2261,168.8,2574,2405,0.5763,8.250,7.674
0.0080,41.51,0.001008,18.10,173.8,2431,2258,173.8,2576,2402,0.5925,8.227,7.635
0.0085,42.66,0.001009,17.10,178.7,2433,2254,178.7,2578,2400.,0.6078,8.206,7.598
0.0090,43.76,0.001009,16.20,183.2,2434,2251,183.3,2580.,2397,0.6223,8.186,7.564
0.0095,44.81,0.001010,15.40,187.6,2436,2248,187.6,2582,2395,0.6361,8.167,7.531
0.010,45.81,0.001010,14.67,191.8,2437,2245,191.8,2584,2392,0.6492,8.149,7.500
0.011,47.68,0.001011,13.41,199.6,2440.,2240.,199.7,2587,2388,0.6737,8.115,7.442
0.012,49.42,0.001012,12.36,206.9,2442,2235,206.9,2590.,2383,0.6963,8.085,7.389
0.013,51.03,0.001013,11.46,213.7,2444,2230.,213.7,2593,2379,0.7172,8.057,7.340
0.014,52.55,0.001013,10.69,220.0,2446,2226,220.0,2596,2376,0.7366,8.031,7.295
0.016,55.31,0.001015,9.431,231.6,2450.,2218,231.6,2601,2369,0.7720,7.985,7.213
0.018,57.80,0.001016,8.443,241.9,2453,2211,242.0,2605,2363,0.8036,7.944,7.140
0.020,60.06,0.001017,7.648,251.4,2456,2205,251.4,2609,2358,0.8320,7.907,7.075
0.024,64.05,0.001019,6.445,268.1,2461,2193,268.2,2616,2348,0.8819,7.844,6.962
0.028,67.52,0.001021,5.578,282.6,2466,2183,282.7,2622,2339,0.9247,7.791,6.866
0.032,70.59,0.001023,4.922,295.5,2470.,2174,295.5,2627,2332,0.9623,7.745,6.783
0.036,73.35,0.001025,4.407,307.1,2473,2166,307.1,2632,2325,0.9958,7.705,6.709
0.040,75.86,0.001026,3.993,317.6,2476,2159,317.6,2636,2318,1.026,7.669,6.643
0.045,78.72,0.001028,3.576,329.6,2480.,2150.,329.6,2641,2311,1.060,7.629,6.569
0.050,81.32,0.001030,3.240,340.5,2483,2143,340.5,2645,2305,1.091,7.593,6.502
0.05,81.32,0.001030,3.240,340.5,2483,2143,340.5,2645,2305,1.091,7.593,6.502
0.055,83.71,0.001032,2.964,350.5,2486,2136,350.6,2649,2299,1.119,7.561,6.441
0.06,85.93,0.001033,2.732,359.9,2489,2129,359.9,2653,2293,1.145,7.531,6.386
0.065,87.99,0.001035,2.535,368.5,2492,2123,368.6,2656,2288,1.170,7.504,6.335
0.07,89.93,0.001036,2.365,376.7,2494,2117,376.8,2659,2283,1.192,7.479,6.287
0.075,91.76,0.001037,2.217,384.4,2496,2112,384.4,2662,2278,1.213,7.456,6.243
0.08,93.49,0.001039,2.087,391.6,2498,2107,391.7,2665,2274,1.233,7.434,6.201
0.085,95.13,0.001040,1.972,398.5,2500.,2102,398.6,2668,2269,1.252,7.414,6.162
0.09,96.69,0.001041,1.869,405.1,2502,2097,405.2,2670.,2265,1.270,7.394,6.125
0.10,98.18,0.001042,1.777,411.4,2504,2093,411.5,2673,2261,1.287,7.376,6.090
0.1,99.61,0.001043,1.694,417.4,2506,2088,417.5,2675,2257,1.303,7.359,6.056
0.11,102.3,0.001045,1.550,428.7,2509,2080.,428.8,2679,2250.,1.333,7.327,5.994
0.12,104.8,0.001047,1.428,439.2,2512,2072,439.4,2683,2244,1.361,7.298,5.937
0.13,107.1,0.001049,1.325,449.1,2514,2065,449.2,2687,2238,1.387,7.271,5.884
0.14,109.3,0.001051,1.237,458.3,2517,2059,458.4,2690.,2232,1.411,7.246,5.835
0.15,111.3,0.001053,1.159,467.0,2519,2052,467.1,2693,2226,1.434,7.223,5.789
0.16,113.3,0.001054,1.091,475.2,2521,2046,475.4,2696,2221,1.455,7.201,5.746
